Well,index,H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],OD340yield,OD34yield_pred,OD34yield_std_pred,Label,Unnamed: 0,OD340yield_pred,OD340yield_std,OD340_pred,OD340_std
A1,0.0,0.02900202884736448,3.7369239083976966,0.5133600705983226,2.6607364038885115,0.005936699401382806,12.398950695433232,1.580732174065038,36.227452222550085,0.00013018520385954887,0.0009488258961558062,0.0007321311067567069,0.0028661756848208098,0.00023654440980205036,0.02960090356061986,0.02960090356061986,0.02960090356061986,explore,,,,,
B1,0.0,0.02900202884736448,3.7369239083976966,0.5133600705983226,2.6607364038885115,0.005936699401382806,12.398950695433232,1.580732174065038,36.227452222550085,0.00013018520385954887,0.0009488258961558062,0.0007321311067567069,0.0028661756848208098,0.00023654440980205036,0.02960090356061986,0.02960090356061986,0.02960090356061986,explore,,,,,
C1,0.0,0.02900202884736448,3.7369239083976966,0.5133600705983226,2.6607364038885115,0.005936699401382806,12.398950695433232,1.580732174065038,36.227452222550085,0.00013018520385954887,0.0009488258961558062,0.0007321311067567069,0.0028661756848208098,0.00023654440980205036,0.02960090356061986,0.02960090356061986,0.02960090356061986,explore,,,,,
D1,1.0,0.03723615016823654,2.3327463134690896,2.2612658909356265,2.059551527460502,0.04731511218318305,6.992900282678964,5.158769937398234,46.32132908706832,3.5397072646407844e-05,0.0007332343467700341,0.0006249865924922591,0.007170397099184798,0.0005816206773370147,0.030144722200555273,0.030144722200555273,0.030144722200555273,explore,,,,,
E1,1.0,0.03723615016823654,2.3327463134690896,2.2612658909356265,2.059551527460502,0.04731511218318305,6.992900282678964,5.158769937398234,46.32132908706832,3.5397072646407844e-05,0.0007332343467700341,0.0006249865924922591,0.007170397099184798,0.0005816206773370147,0.030144722200555273,0.030144722200555273,0.030144722200555273,explore,,,,,
F1,1.0,0.03723615016823654,2.3327463134690896,2.2612658909356265,2.059551527460502,0.04731511218318305,6.992900282678964,5.158769937398234,46.32132908706832,3.5397072646407844e-05,0.0007332343467700341,0.0006249865924922591,0.007170397099184798,0.0005816206773370147,0.030144722200555273,0.030144722200555273,0.030144722200555273,explore,,,,,
A2,2.0,0.03723617369961976,2.3327463134492445,2.2612658917144244,2.0595515263014232,0.047315029571808775,6.992900281994251,5.158769937025283,46.32132908704424,8.701679519714875e-05,0.0007338710131275521,0.0007888575373050387,0.007169689858472272,0.000592366365292205,0.030207586494699568,0.030207586494699568,0.030207586494699568,explore,,,,,
B2,2.0,0.03723617369961976,2.3327463134492445,2.2612658917144244,2.0595515263014232,0.047315029571808775,6.992900281994251,5.158769937025283,46.32132908704424,8.701679519714875e-05,0.0007338710131275521,0.0007888575373050387,0.007169689858472272,0.000592366365292205,0.030207586494699568,0.030207586494699568,0.030207586494699568,explore,,,,,
C2,2.0,0.03723617369961976,2.3327463134492445,2.2612658917144244,2.0595515263014232,0.047315029571808775,6.992900281994251,5.158769937025283,46.32132908704424,8.701679519714875e-05,0.0007338710131275521,0.0007888575373050387,0.007169689858472272,0.000592366365292205,0.030207586494699568,0.030207586494699568,0.030207586494699568,explore,,,,,
D2,3.0,0.037483727598745936,5.5235415671781976,0.06719610880483552,2.407638783960655,0.09206591370660744,10.404171884988932,2.191248389489794,89.85301050347691,0.00010999677603479389,8.189327444775934e-05,0.0007854493871136905,0.004129572195352557,0.0008837237588814605,0.03048828480471645,0.03048828480471645,0.03048828480471645,explore,,,,,
E2,3.0,0.037483727598745936,5.5235415671781976,0.06719610880483552,2.407638783960655,0.09206591370660744,10.404171884988932,2.191248389489794,89.85301050347691,0.00010999677603479389,8.189327444775934e-05,0.0007854493871136905,0.004129572195352557,0.0008837237588814605,0.03048828480471645,0.03048828480471645,0.03048828480471645,explore,,,,,
F2,3.0,0.037483727598745936,5.5235415671781976,0.06719610880483552,2.407638783960655,0.09206591370660744,10.404171884988932,2.191248389489794,89.85301050347691,0.00010999677603479389,8.189327444775934e-05,0.0007854493871136905,0.004129572195352557,0.0008837237588814605,0.03048828480471645,0.03048828480471645,0.03048828480471645,explore,,,,,
A3,4.0,0.022171628261612022,4.427161097413254,1.8070345979508973,5.20503908750603,0.09282328654829163,6.917255211404219,0.4692744531764086,37.815673867239326,0.00012601162362150837,0.0015171512910845122,0.0007147161393824899,0.0053242720166052785,0.0005314011103724344,0.03159958246308241,0.03159958246308241,0.03159958246308241,explore,,,,,
B3,4.0,0.022171628261612022,4.427161097413254,1.8070345979508973,5.20503908750603,0.09282328654829163,6.917255211404219,0.4692744531764086,37.815673867239326,0.00012601162362150837,0.0015171512910845122,0.0007147161393824899,0.0053242720166052785,0.0005314011103724344,0.03159958246308241,0.03159958246308241,0.03159958246308241,explore,,,,,
C3,4.0,0.022171628261612022,4.427161097413254,1.8070345979508973,5.20503908750603,0.09282328654829163,6.917255211404219,0.4692744531764086,37.815673867239326,0.00012601162362150837,0.0015171512910845122,0.0007147161393824899,0.0053242720166052785,0.0005314011103724344,0.03159958246308241,0.03159958246308241,0.03159958246308241,explore,,,,,
D3,5.0,0.031592969743704964,6.041953739621541,0.08935103106560387,0.991921325795853,0.004063886434943866,7.331221943887717,4.909345402413531,81.34299928580596,0.00020090446645236308,0.0011750300032494787,0.0007462067715952009,0.002790535477749694,0.0008201097394914106,0.029100046855908397,0.029100046855908397,0.029100046855908397,explore,,,,,
E3,5.0,0.031592969743704964,6.041953739621541,0.08935103106560387,0.991921325795853,0.004063886434943866,7.331221943887717,4.909345402413531,81.34299928580596,0.00020090446645236308,0.0011750300032494787,0.0007462067715952009,0.002790535477749694,0.0008201097394914106,0.029100046855908397,0.029100046855908397,0.029100046855908397,explore,,,,,
F3,5.0,0.031592969743704964,6.041953739621541,0.08935103106560387,0.991921325795853,0.004063886434943866,7.331221943887717,4.909345402413531,81.34299928580596,0.00020090446645236308,0.0011750300032494787,0.0007462067715952009,0.002790535477749694,0.0008201097394914106,0.029100046855908397,0.029100046855908397,0.029100046855908397,explore,,,,,
A4,6.0,0.0108300162614577,7.186694571771605,1.921656813900316,2.1048577248654756,0.029276023465811735,7.512627956647493,1.1675577062866915,73.29279462876835,8.300507913743023e-05,0.0006320287019963354,0.0006855453797116935,0.002066371967534815,0.0009030873527468919,0.02929441853870471,0.02929441853870471,0.02929441853870471,explore,,,,,
B4,6.0,0.0108300162614577,7.186694571771605,1.921656813900316,2.1048577248654756,0.029276023465811735,7.512627956647493,1.1675577062866915,73.29279462876835,8.300507913743023e-05,0.0006320287019963354,0.0006855453797116935,0.002066371967534815,0.0009030873527468919,0.02929441853870471,0.02929441853870471,0.02929441853870471,explore,,,,,
C4,6.0,0.0108300162614577,7.186694571771605,1.921656813900316,2.1048577248654756,0.029276023465811735,7.512627956647493,1.1675577062866915,73.29279462876835,8.300507913743023e-05,0.0006320287019963354,0.0006855453797116935,0.002066371967534815,0.0009030873527468919,0.02929441853870471,0.02929441853870471,0.02929441853870471,explore,,,,,
D4,0.0,0.0086946759408253,2.616547228455204,1.0768266579021424,2.7425530184751588,0.0931008207211638,10.695879821347337,3.3651334215614592,368.73612604173417,6.646023728329093e-05,0.0011912717489552,0.0004557000429618,0.0060152803627805,0.0006315091678076,,,,exploit,0.0,0.0433281093085997,0.0040379593657874,,
E4,0.0,0.0086946759408253,2.616547228455204,1.0768266579021424,2.7425530184751588,0.0931008207211638,10.695879821347337,3.3651334215614592,368.73612604173417,6.646023728329093e-05,0.0011912717489552,0.0004557000429618,0.0060152803627805,0.0006315091678076,,,,exploit,0.0,0.0433281093085997,0.0040379593657874,,
F4,0.0,0.0086946759408253,2.616547228455204,1.0768266579021424,2.7425530184751588,0.0931008207211638,10.695879821347337,3.3651334215614592,368.73612604173417,6.646023728329093e-05,0.0011912717489552,0.0004557000429618,0.0060152803627805,0.0006315091678076,,,,exploit,0.0,0.0433281093085997,0.0040379593657874,,
A5,1.0,0.0057118672463546,3.3660491024335357,1.9894372161606269,3.998032136216808,0.0943073289705808,9.289903003445948,1.9556169668032553,361.2898756388226,0.0002838367243321,0.0017351589027568,0.0003037925716789,0.0037104014780384,0.0006126419067832,,,,exploit,1.0,0.043089669333362,0.0040376544370437,,
B5,1.0,0.0057118672463546,3.3660491024335357,1.9894372161606269,3.998032136216808,0.0943073289705808,9.289903003445948,1.9556169668032553,361.2898756388226,0.0002838367243321,0.0017351589027568,0.0003037925716789,0.0037104014780384,0.0006126419067832,,,,exploit,1.0,0.043089669333362,0.0040376544370437,,
C5,1.0,0.0057118672463546,3.3660491024335357,1.9894372161606269,3.998032136216808,0.0943073289705808,9.289903003445948,1.9556169668032553,361.2898756388226,0.0002838367243321,0.0017351589027568,0.0003037925716789,0.0037104014780384,0.0006126419067832,,,,exploit,1.0,0.043089669333362,0.0040376544370437,,
D5,2.0,0.0241418037211976,2.950170189322222,1.8711898248922163,2.134100958747,0.094861734740855,8.210411128705664,4.055406373787735,427.6989335413559,0.0002737533696759,0.0007523476956952,0.0004729972974718,0.0048181896654497,0.0006365023516894,,,,exploit,2.0,0.0425913063739527,0.004039380462711,,
E5,2.0,0.0241418037211976,2.950170189322222,1.8711898248922163,2.134100958747,0.094861734740855,8.210411128705664,4.055406373787735,427.6989335413559,0.0002737533696759,0.0007523476956952,0.0004729972974718,0.0048181896654497,0.0006365023516894,,,,exploit,2.0,0.0425913063739527,0.004039380462711,,
F5,2.0,0.0241418037211976,2.950170189322222,1.8711898248922163,2.134100958747,0.094861734740855,8.210411128705664,4.055406373787735,427.6989335413559,0.0002737533696759,0.0007523476956952,0.0004729972974718,0.0048181896654497,0.0006365023516894,,,,exploit,2.0,0.0425913063739527,0.004039380462711,,
A6,3.0,0.0349350671272749,2.6207948118935747,1.8996622308467377,0.9863698561396386,0.0753997407017981,9.461043134956295,4.454125213549853,438.647561678068,0.0002493884632956,0.0027285724282938,0.0005949212392248,0.0012168949005749,0.0009567289550628,,,,exploit,3.0,0.0412925342676944,0.0041247523721671,,
B6,3.0,0.0349350671272749,2.6207948118935747,1.8996622308467377,0.9863698561396386,0.0753997407017981,9.461043134956295,4.454125213549853,438.647561678068,0.0002493884632956,0.0027285724282938,0.0005949212392248,0.0012168949005749,0.0009567289550628,,,,exploit,3.0,0.0412925342676944,0.0041247523721671,,
C6,3.0,0.0349350671272749,2.6207948118935747,1.8996622308467377,0.9863698561396386,0.0753997407017981,9.461043134956295,4.454125213549853,438.647561678068,0.0002493884632956,0.0027285724282938,0.0005949212392248,0.0012168949005749,0.0009567289550628,,,,exploit,3.0,0.0412925342676944,0.0041247523721671,,
D6,4.0,0.0327789359515711,6.032641106497351,0.987640453510279,2.0465266106429496,0.0152043601434703,8.10025797110415,3.540027484511863,235.0852639836087,3.372076298635179e-05,0.0027634986272528,0.0002460595663621,0.0045897473764351,0.0009129601987303,,,,exploit,4.0,0.0367627588700091,0.0041911891340135,,
E6,4.0,0.0327789359515711,6.032641106497351,0.987640453510279,2.0465266106429496,0.0152043601434703,8.10025797110415,3.540027484511863,235.0852639836087,3.372076298635179e-05,0.0027634986272528,0.0002460595663621,0.0045897473764351,0.0009129601987303,,,,exploit,4.0,0.0367627588700091,0.0041911891340135,,
F6,4.0,0.0327789359515711,6.032641106497351,0.987640453510279,2.0465266106429496,0.0152043601434703,8.10025797110415,3.540027484511863,235.0852639836087,3.372076298635179e-05,0.0027634986272528,0.0002460595663621,0.0045897473764351,0.0009129601987303,,,,exploit,4.0,0.0367627588700091,0.0041911891340135,,
A7,5.0,0.0238705779439489,8.995839984916486,1.880084387345865,3.7764294907557345,0.0744527613886089,9.884826138062923,0.9756544685345072,462.4295084702656,0.0002522969829414,0.0028884202591875,0.0003292714212313,0.0035334360906598,0.0008567732420042,,,,exploit,5.0,0.0231589254907382,0.0041253009008446,,
B7,5.0,0.0238705779439489,8.995839984916486,1.880084387345865,3.7764294907557345,0.0744527613886089,9.884826138062923,0.9756544685345072,462.4295084702656,0.0002522969829414,0.0028884202591875,0.0003292714212313,0.0035334360906598,0.0008567732420042,,,,exploit,5.0,0.0231589254907382,0.0041253009008446,,
C7,5.0,0.0238705779439489,8.995839984916486,1.880084387345865,3.7764294907557345,0.0744527613886089,9.884826138062923,0.9756544685345072,462.4295084702656,0.0002522969829414,0.0028884202591875,0.0003292714212313,0.0035334360906598,0.0008567732420042,,,,exploit,5.0,0.0231589254907382,0.0041253009008446,,
D7,6.0,0.0309738083154747,13.11274415301186,0.9822817036764522,2.220678608917124,0.0978405585144675,7.256409745377594,3.672025961412561,461.81635565562874,0.0001137475833783,0.000193720996456,0.0005437634300089,0.0058050086629433,0.0007587879158742,,,,exploit,6.0,0.022323275783046,0.0040921973689131,,
E7,6.0,0.0309738083154747,13.11274415301186,0.9822817036764522,2.220678608917124,0.0978405585144675,7.256409745377594,3.672025961412561,461.81635565562874,0.0001137475833783,0.000193720996456,0.0005437634300089,0.0058050086629433,0.0007587879158742,,,,exploit,6.0,0.022323275783046,0.0040921973689131,,
F7,6.0,0.0309738083154747,13.11274415301186,0.9822817036764522,2.220678608917124,0.0978405585144675,7.256409745377594,3.672025961412561,461.81635565562874,0.0001137475833783,0.000193720996456,0.0005437634300089,0.0058050086629433,0.0007587879158742,,,,exploit,6.0,0.022323275783046,0.0040921973689131,,
A8,7.0,0.0202688935218741,16.634365840925,1.1445136283796349,2.277858897471309,0.0987927671073304,9.359019691573543,4.0629030442353695,418.84636470736825,5.808512788444968e-05,0.0007427445915556,0.0003502644666973,0.0058771178642879,0.0006368550063038,,,,exploit,7.0,0.0223129599461094,0.0040908179053695,,
B8,7.0,0.0202688935218741,16.634365840925,1.1445136283796349,2.277858897471309,0.0987927671073304,9.359019691573543,4.0629030442353695,418.84636470736825,5.808512788444968e-05,0.0007427445915556,0.0003502644666973,0.0058771178642879,0.0006368550063038,,,,exploit,7.0,0.0223129599461094,0.0040908179053695,,
C8,7.0,0.0202688935218741,16.634365840925,1.1445136283796349,2.277858897471309,0.0987927671073304,9.359019691573543,4.0629030442353695,418.84636470736825,5.808512788444968e-05,0.0007427445915556,0.0003502644666973,0.0058771178642879,0.0006368550063038,,,,exploit,7.0,0.0223129599461094,0.0040908179053695,,
D8,,0.004383255904956811,18.009772390930756,0.29376418407700033,1.4372284280888301,0.010265633827159231,8.593542239302923,0.4859702736404163,46.32337101226071,2.790313928780405e-05,0.0003044935178380269,0.00010239960155909096,0.0007802607655807233,9.786061311197653e-05,,,,standard,,,,0.01276987073794987,0.0040247673808015616
E8,,0.004383255904956811,18.009772390930756,0.29376418407700033,1.4372284280888301,0.010265633827159231,8.593542239302923,0.4859702736404163,46.32337101226071,2.790313928780405e-05,0.0003044935178380269,0.00010239960155909096,0.0007802607655807233,9.786061311197653e-05,,,,standard,,,,0.01276987073794987,0.0040247673808015616
F8,,0.004383255904956811,18.009772390930756,0.29376418407700033,1.4372284280888301,0.010265633827159231,8.593542239302923,0.4859702736404163,46.32337101226071,2.790313928780405e-05,0.0003044935178380269,0.00010239960155909096,0.0007802607655807233,9.786061311197653e-05,,,,standard,,,,0.01276987073794987,0.0040247673808015616
