Well,H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM]
A1,0.028304,20,0.203775,2.142815,0.04985,10.682077,1.327616,400.020175,0.000282,0.001039,0.000786,0.002639,1.40E-05
A2,0.028304,20,0.203775,2.142815,0.04985,10.682077,1.327616,400.020175,0.000282,0.001039,0.000786,0.002639,1.40E-05
A3,0.028304,20,0.203775,2.142815,0.04985,10.682077,1.327616,400.020175,0.000282,0.001039,0.000786,0.002639,1.40E-05
A4,0.028304,20,0.203775,2.142815,0.04985,10.682077,1.327616,400.020175,0.000282,0.001039,0.000786,0.002639,1.40E-05
A5,0.028304,20,0.203775,2.142815,0.04985,10.682077,1.327616,400.020175,0.000282,0.001039,0.000786,0.002639,1.40E-05
A6,0.028304,20,0.203775,2.142815,0.04985,10.682077,1.327616,400.020175,0.000282,0.001039,0.000786,0.002639,1.40E-05
A7,0.011387,20,2.457756,5.421489,0.065707,8.461985,4.146051,494.833552,0.000122,0.002261,0.000954,0.003318,0.00046
A8,0.011387,20,2.457756,5.421489,0.065707,8.461985,4.146051,494.833552,0.000122,0.002261,0.000954,0.003318,0.00046
B1,0.011387,20,2.457756,5.421489,0.065707,8.461985,4.146051,494.833552,0.000122,0.002261,0.000954,0.003318,0.00046
B2,0.011387,20,2.457756,5.421489,0.065707,8.461985,4.146051,494.833552,0.000122,0.002261,0.000954,0.003318,0.00046
B3,0.011387,20,2.457756,5.421489,0.065707,8.461985,4.146051,494.833552,0.000122,0.002261,0.000954,0.003318,0.00046
B4,0.011387,20,2.457756,5.421489,0.065707,8.461985,4.146051,494.833552,0.000122,0.002261,0.000954,0.003318,0.00046
B5,0.015798,20,0.801194,3.393851,0.066774,11.368197,0.590902,405.639898,0.000209,0.001154,0.003318,0.004075,0.000986
B6,0.015798,20,0.801194,3.393851,0.066774,11.368197,0.590902,405.639898,0.000209,0.001154,0.003318,0.004075,0.000986
B7,0.015798,20,0.801194,3.393851,0.066774,11.368197,0.590902,405.639898,0.000209,0.001154,0.003318,0.004075,0.000986
B8,0.015798,20,0.801194,3.393851,0.066774,11.368197,0.590902,405.639898,0.000209,0.001154,0.003318,0.004075,0.000986
C1,0.015798,20,0.801194,3.393851,0.066774,11.368197,0.590902,405.639898,0.000209,0.001154,0.003318,0.004075,0.000986
C2,0.015798,20,0.801194,3.393851,0.066774,11.368197,0.590902,405.639898,0.000209,0.001154,0.003318,0.004075,0.000986
C3,0.021665,20,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377
C4,0.021665,20,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377
C5,0.021665,20,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377
C6,0.021665,20,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377
C7,0.021665,20,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377
C8,0.021665,20,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377
D1,0.000647,4.213814,1.678308,4.062872,0.098552,8.959183,0.094732,385.729643,0.00021,0.002937,0.000831,0.00308,0.000515
D2,0.000647,4.213814,1.678308,4.062872,0.098552,8.959183,0.094732,385.729643,0.00021,0.002937,0.000831,0.00308,0.000515
D3,0.000647,4.213814,1.678308,4.062872,0.098552,8.959183,0.094732,385.729643,0.00021,0.002937,0.000831,0.00308,0.000515
D4,0.000647,4.213814,1.678308,4.062872,0.098552,8.959183,0.094732,385.729643,0.00021,0.002937,0.000831,0.00308,0.000515
D5,0.000647,4.213814,1.678308,4.062872,0.098552,8.959183,0.094732,385.729643,0.00021,0.002937,0.000831,0.00308,0.000515
D6,0.000647,4.213814,1.678308,4.062872,0.098552,8.959183,0.094732,385.729643,0.00021,0.002937,0.000831,0.00308,0.000515
D7,0.035365,125.070509,2.658501,2.043345,0.025682,9.077471,4.940375,463.312797,0.000127,0.000656,0.000211,0.001853,0.00099
D8,0.035365,125.070509,2.658501,2.043345,0.025682,9.077471,4.940375,463.312797,0.000127,0.000656,0.000211,0.001853,0.00099
E1,0.035365,125.070509,2.658501,2.043345,0.025682,9.077471,4.940375,463.312797,0.000127,0.000656,0.000211,0.001853,0.00099
E2,0.035365,125.070509,2.658501,2.043345,0.025682,9.077471,4.940375,463.312797,0.000127,0.000656,0.000211,0.001853,0.00099
E3,0.035365,125.070509,2.658501,2.043345,0.025682,9.077471,4.940375,463.312797,0.000127,0.000656,0.000211,0.001853,0.00099
E4,0.035365,125.070509,2.658501,2.043345,0.025682,9.077471,4.940375,463.312797,0.000127,0.000656,0.000211,0.001853,0.00099
E5,0.034935,2.620795,1.899662,0.98637,0.0754,9.461043,4.454125,438.647562,0.000249,0.002729,0.000595,0.001217,0.000957
E6,0.034935,2.620795,1.899662,0.98637,0.0754,9.461043,4.454125,438.647562,0.000249,0.002729,0.000595,0.001217,0.000957
E7,0.034935,2.620795,1.899662,0.98637,0.0754,9.461043,4.454125,438.647562,0.000249,0.002729,0.000595,0.001217,0.000957
E8,0.034935,2.620795,1.899662,0.98637,0.0754,9.461043,4.454125,438.647562,0.000249,0.002729,0.000595,0.001217,0.000957
F1,0.034935,2.620795,1.899662,0.98637,0.0754,9.461043,4.454125,438.647562,0.000249,0.002729,0.000595,0.001217,0.000957
F2,0.034935,2.620795,1.899662,0.98637,0.0754,9.461043,4.454125,438.647562,0.000249,0.002729,0.000595,0.001217,0.000957
F3,0.00404,20.702191,0.284786,1.195734,0.009621,8.606283,0.477038,50.425498,3.00E-05,0.000278,9.70E-05,0.000765,0.000105
F4,0.00404,20.702191,0.284786,1.195734,0.009621,8.606283,0.477038,50.425498,3.00E-05,0.000278,9.70E-05,0.000765,0.000105
F5,0.00404,20.702191,0.284786,1.195734,0.009621,8.606283,0.477038,50.425498,3.00E-05,0.000278,9.70E-05,0.000765,0.000105
F6,0.00404,20.702191,0.284786,1.195734,0.009621,8.606283,0.477038,50.425498,3.00E-05,0.000278,9.70E-05,0.000765,0.000105
F7,0.00404,20.702191,0.284786,1.195734,0.009621,8.606283,0.477038,50.425498,3.00E-05,0.000278,9.70E-05,0.000765,0.000105
F8,0.00404,20.702191,0.284786,1.195734,0.009621,8.606283,0.477038,50.425498,3.00E-05,0.000278,9.70E-05,0.000765,0.000105